UnitID,Institution Name,Grand total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2019_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2018_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2017_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2016_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2015_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2014_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2013_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Grand total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full time total (EF2012_RV  All students  Undergraduate  Degree/certificate-seeking  First-time),Full-time adjusted fall 2018 cohort (EF2019D_RV),Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D_RV),Full-time adjusted fall 2017 cohort (EF2018D_RV),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Full-time adjusted fall 2016 cohort (EF2017D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Full-time adjusted fall 2015 cohort (EF2016D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Full-time adjusted fall 2014 cohort (EF2015D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Full-time adjusted fall 2013 cohort (EF2014D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Full-time adjusted fall 2012 cohort (EF2013D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Full-time adjusted fall 2011 cohort (EF2012D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),Published in-state tuition and fees 2019-20 (IC2019_AY),Published in-state tuition and fees 2018-19 (IC2018_AY),Published in-state tuition and fees 2017-18 (IC2017_AY),Published in-state tuition and fees 2016-17 (IC2016_AY),Published in-state tuition and fees 2015-16 (IC2015_AY),Published in-state tuition and fees 2014-15 (IC2014_AY),Published in-state tuition and fees 2013-14 (IC2013_AY),Published in-state tuition and fees 2012-13 (IC2012_AY),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1920),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1819_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1718_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1617_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1516_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1415_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1314_RV),Total amount of institutional grant aid awarded to full-time first-time undergraduates (SFA1213_RV),Value of endowment assets at the end of the fiscal year (F1819_F2_RV),Total expenses-Total amount (F1819_F2_RV),Value of endowment assets at the end of the fiscal year (F1718_F2_RV),Total expenses-Total amount (F1718_F2_RV),Value of endowment assets at the end of the fiscal year (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),Value of endowment assets at the end of the fiscal year (F1516_F2_RV),Total expenses-Total amount (F1516_F2_RV),Value of endowment assets at the end of the fiscal year (F1415_F2_RV),Total expenses-Total amount (F1415_F2_RV),Value of endowment assets at the end of the fiscal year (F1314_F2_RV),Total expenses-Total amount (F1314_F2_RV),Value of endowment assets at the end of the fiscal year (F1213_F2_RV),Total expenses-Total amount (F1213_F2_RV),Value of endowment assets at the end of the fiscal year (F1112_F2_RV),Total expenses-Total amount (F1112_F2_RV),
178518,Nazarene Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11425421,3987271,10957202,4194069,10968218,4593484,9248659,5035929,10101630,4800175,10354284,4236972,9293527,4113508,9165866,3938777,
193584,Nazareth College,516,516,544,544,550,550,517,517,521,519,476,476,423,423,472,472,544,455,550,469,517,409,519,439,476,398,423,353,472,371,439,359,35641,34505,33549,32649,31745,30762,29624,28330,8810599,9075013,8714695,7979457,7556309,6766770,5953665,5971901,71326126,87423761,69127326,81465162,65719955,79359881,59596542,76454653,65163785,72558919,67836655,71115609,59858988,72709282,53947671,72317188,
181376,Nebraska Christian College of Hope International University,25,25,32,31,46,46,22,22,31,28,28,27,56,52,45,44,31,17,46,23,16,13,23,19,27,20,47,38,35,20,35,20,18000,17665,16830,16200,15000,13200,11300,12600,,228380,324500,135300,109638,116593,162200,148595,124873,3610174,132078,3664729,1302934,3163820,1201150,2858923,1255197,3677911,1216627,3714824,672083,3283597,698669,3083681,
181297,Nebraska Methodist College of Nursing & Allied Health,48,41,51,41,45,39,44,43,33,32,38,37,44,37,29,29,37,25,35,29,31,24,24,18,27,22,27,19,28,22,29,23,16284,16308,15980,13802,13418,13614,13302,12510,224600,170844,163880,195545,122255,160028,147173,119311,11106296,21534805,11023174,20911929,8841202,19548815,6914790,18969295,6697537,18126030,6576589,17669807,5841018,16669474,5411355,15994995,
181446,Nebraska Wesleyan University,487,487,487,487,406,406,420,420,439,439,368,368,379,379,356,356,487,404,406,339,420,313,439,344,368,291,378,307,356,276,360,270,35564,34202,32894,31394,29800,28500,27242,25918,10111958,10168085,7714852,7328183,7363950,5769623,6193998,4152577,58444000,42578000,59403000,41094000,56087000,39950000,50915956,38928000,55725877,38260000,55801392,36661000,50856462,36401000,45890356,37131000,
163532,Ner Israel Rabbinical College,31,31,34,34,42,42,35,35,34,34,42,42,41,41,34,34,34,29,36,32,34,26,34,29,42,34,40,34,34,27,45,35,12400,12400,11900,11400,10900,10300,10000,9700,214414,235672,270368,173497,207114,286742,236855,205830,,11595311,,12103122,,12059253,,11357108,,12082848,43840901,11278311,43938760,10764826,45486826,10410367,
214272,Neumann University,418,416,421,421,360,360,375,375,401,401,416,415,503,501,574,574,421,318,360,254,375,290,400,275,415,291,500,366,574,378,571,423,32960,31400,30050,28580,26918,25860,24948,24232,7114197,7352228,5750518,5364124,5120543,4442868,5197104,4760950,33851929,51940937,32252277,49729750,30752163,52512467,28018213,55134097,28205381,54206345,27614546,53450529,24238106,50934994,22292818,49140641,
185758,New Brunswick Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9787993,4992364,9564138,4683606,9434277,4446060,9331371,4261887,7668662,4104510,7065067,3607722,6266551,3515497,6895656,3741270,
182980,New England College,472,456,409,397,480,478,345,341,429,426,363,354,383,375,328,322,457,265,477,265,339,171,379,227,328,188,323,196,250,154,265,166,38670,37914,36954,35952,34606,33900,33000,31744,10145245,9911461,9563419,6216851,6925968,4481632,5249357,4382930,257136910,50311414,14047930,38366390,13095457,35325384,11650232,31685070,11869486,29715300,11915333,29222475,9274821,28876501,8145908,28316332,
167093,New England College of Optometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26696620,24527589,25560850,24518453,21929339,25404657,16852301,24331543,15297745,23471880,14843249,24012464,12984976,23744978,12153112,23504935,
217305,New England Institute of Technology,481,481,525,525,523,523,444,444,417,417,490,490,498,498,444,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30840,29856,28656,26151,23031,22371,21285,20685,2956929,3849070,3206185,708093,438671,1405833,1564445,369374,220924484,70821498,205841772,68934876,200077155,68786107,183579194,64661270,175090039,59328051,164956174,56085217,147349212,53856547,134265003,53824401,
167215,New England Law-Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86132885,19965706,87341477,24142453,90069190,20273580,89350742,20663190,87831588,20741441,242397,29306289,253099,26315491,252599,25786924,
167181,New England School of Acupuncture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4261731,,4229524,,4599743,,4515940,
373827,New England School of Communications,,,,,,,,,,,,,94,93,108,107,,,,,,,,,,,,,107,73,115,72,,,,,,16847,14104,13482,,,,,,,,36550,,,,,,,,,,,,,,7558634,,7029490,
430810,New Hampshire Institute of Art,,,66,66,62,62,65,64,98,97,88,85,107,95,104,96,,,62,40,64,43,93,70,84,61,81,69,96,78,122,90,,28080,26880,25780,24690,24010,22410,21450,,,556354,456582,1245833,783613,576232,618974,,,15290728,16379141,17958924,13439760,19265257,13618538,23581034,14149041,24917963,13237768,23789194,13274125,23347061,11256489,
208725,New Hope Christian College-Eugene,23,23,21,21,14,12,23,23,27,24,31,26,34,31,58,56,20,13,11,7,19,10,20,11,26,13,30,19,45,21,35,19,15700,14830,14830,14230,14230,15950,14750,13590,150880,135002,75115,65683,102000,142045,155725,185495,959196,2460220,1847668,2311335,2014355,2626545,1949724,3162857,2057808,5256698,2735768,5108379,1967094,5309427,2601740,3931161,
159948,New Orleans Baptist Theological Seminary,177,18,82,28,,,239,70,312,68,282,52,189,36,257,49,20,11,26,15,,,42,26,27,24,30,27,38,28,35,24,9100,8620,8040,7380,6900,6660,6540,6270,3600,3880,5550,4700,2500,1000,4280,11853,67868448,27110090,64030574,26809603,62644914,28027006,61221262,27449348,59939474,26447726,60186595,24020242,59226440,22708359,58884346,21416250,
440396,New Saint Andrews College,34,33,47,46,33,32,37,37,42,42,,,44,42,45,44,37,33,29,25,34,32,32,30,24,20,,,40,38,38,33,13150,12800,12450,12100,11800,11500,11200,10750,142250,,0,,370310,,,36000,,2308099,,,,,,,,,,1611072,,1545890,,1410526,
366368,New York Academy of Art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430379,6906163,419895,6271661,438474,5591190,390164,5580254,395555,4964019,393001,4594823,341532,4220502,339373,4358797,
193751,New York Chiropractic College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57331841,27386650,58909298,27669271,55949119,27479956,50901785,28804017,147342,27787299,149941,26919503,161850,26495530,179010,24797418,
418126,New York College of Health Professions,31,21,41,32,29,23,41,28,24,18,48,32,64,43,127,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14226,14226,14226,14226,14226,13830,13434,12066,0,0,0,0,500,500,500,3000,,45412163,,7714433,,10650585,,10904830,,12446122,,11514084,,10680593,,8264384,
194073,New York College of Podiatric Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946562,19225016,844755,18294476,814976,17567530,765290,17417895,743670,17589299,730766,16712053,664034,15731952,625105,15897965,
439783,New York College of Traditional Chinese Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2740454,,2542543,,2666970,,2170524,,2121388,,2037089,,2063688,,2122243,
194091,New York Institute of Technology,849,816,889,844,894,857,713,681,742,699,712,679,832,775,898,850,844,687,851,609,679,497,698,536,672,500,771,582,849,612,821,578,38010,36890,35870,35160,33480,32180,30780,28940,18740120,18887867,18484476,12896736,11297054,9416080,9756581,9691800,87908924,267257044,111256324,259996653,110508940,262585224,103378802,249645095,101128133,234658357,113259931,223285923,109089990,224423616,54784240,224464187,
193821,New York Law School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33511106,59426607,33357846,56644118,33426900,58083324,33325841,63493859,32950491,70293025,32634270,75143896,32307224,79369958,32619141,86287748,
193830,New York Medical College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70675872,120191974,70344644,123530220,85574912,124063191,81729690,128487172,87739389,135665911,77522555,145141401,68358112,142457376,61932436,144315811,
194116,New York School of Interior Design,22,15,18,13,25,13,17,10,12,4,21,13,32,21,23,16,7,5,5,5,6,6,1,1,5,4,9,8,7,5,11,6,26322,24834,23590,22710,22670,26540,26540,23026,17825,5000,44000,31200,2500,50000,92000,92000,5494169,14974900,5406722,14762766,4873246,14650184,4551712,14368144,4563686,14287466,4348198,14347430,3683815,14291591,3071378,14084870,
193894,New York Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001487,5296924,2010990,4858925,2013100,4773422,2102584,5055987,2475247,5295825,1686606,5449670,2038245,5360748,1987612,5448958,
193900,New York University,5752,5739,6174,6160,6022,6004,6133,6078,5917,5886,5913,5860,5207,5168,5140,5124,6090,5750,5975,5618,6061,5666,5875,5482,5573,5194,5593,5145,5119,4735,3845,3520,53308,51828,50464,49062,47750,46170,44848,43204,90241573,87095058,72108260,77918481,87456325,84621009,70384388,56038892,4219660090,7391789000,4222210163,6455176000,4076048275,5924093000,3587113000,5548777000,3475939000,5026117000,3435034000,4607555000,2980027000,3953776000,2800399000,3830879000,
218414,Newberry College,340,340,374,374,353,353,285,285,267,267,277,277,237,237,220,220,374,250,353,215,285,183,267,175,277,196,237,170,220,151,282,192,27400,26424,25900,25600,25000,24300,23800,23575,5369445,5270942,4836689,3698532,3952537,3826268,3245131,2589146,17988360,30637040,17328268,28045967,16483153,26218989,14730637,26772361,14473941,27770708,16116536,24960682,21526707,24252005,23755623,25949599,
167251,Newbury College,,,205,200,172,170,225,223,263,260,268,264,268,267,283,278,,,170,98,216,124,227,95,237,152,254,151,268,150,290,172,,35540,34470,33510,31408,29930,28950,27850,,,3827325,4240396,4432888,4233822,3681172,3547989,,,500000,20300181,500000,18962849,2100000,19622488,2100000,18770433,2100000,19296271,1600000,19101268,1600000,18355388,
155335,Newman University,184,182,183,180,212,212,180,180,163,162,174,174,165,164,192,190,180,130,201,156,171,137,157,116,174,123,164,118,190,138,170,119,31906,30750,29200,27556,26030,24800,23650,22238,3478876,3394979,4162251,3255449,2742410,2842337,2483105,2660335,22136587,26837614,18237876,27344994,18939838,26304247,17784687,26011408,22618722,25531455,23334217,25416170,21276577,24348839,16644220,23243314,
193973,Niagara University,626,626,515,513,590,590,625,622,643,642,618,616,700,698,641,641,511,447,588,491,619,516,640,520,614,539,698,583,638,515,630,508,34510,33180,31950,30950,29900,29060,28200,27230,14858674,12724468,12884356,13152739,12733728,11625419,12405806,10964205,97242018,88944389,102391601,86543668,98007638,86756010,87282708,81444557,95197456,79084971,93067094,77191936,80898426,75802451,72151838,77137521,
167260,Nichols College,343,342,355,354,375,374,351,351,327,325,400,399,380,379,331,330,352,269,374,279,350,268,325,230,399,283,377,267,330,229,393,243,35940,35000,34000,33400,33300,32370,32370,31700,6989784,7312100,7091938,6032374,5161656,6390926,6055781,4651067,17344974,38675262,15417314,38299199,13682006,37279521,11343196,36370033,9700533,35095945,8837894,32296488,7457894,29863452,,28625742,
461795,North American University,56,49,60,57,50,50,95,94,111,111,87,87,80,80,126,124,57,30,50,30,94,43,111,64,87,60,80,41,124,70,118,65,9900,9900,9900,11900,11900,11900,11700,11700,428800,275000,218000,659167,884250,533252,564288,727905,,9550571,,9054146,,9904483,,10720339,,9607199,,8910595,,7958955,,6661723,
199209,North Carolina Wesleyan College,286,280,390,386,355,329,318,318,320,320,322,319,231,228,222,221,386,259,329,208,318,195,318,177,314,163,218,121,221,108,191,107,31650,30750,29900,29150,28150,27400,26632,25760,6073166,8582328,6599675,5805947,5651668,5084897,2931997,2012138,10266037,32539795,10809681,32527642,10618137,30297043,10078237,29221666,10674736,27806018,10779968,23130996,10433138,21220083,9355397,20814569,
147660,North Central College,557,557,550,550,603,603,589,589,599,599,576,576,529,529,552,552,550,428,603,491,589,467,599,466,576,462,529,414,552,435,571,444,40040,38880,37749,36654,35421,34230,32613,31071,13413666,12471844,13135017,12060176,11666255,10915379,9105377,8679345,119201462,80564953,116939127,79229111,109986446,76837965,98721426,73360405,104784275,70787021,109479725,68184667,96838694,67130813,91274932,64631506,
174437,North Central University,245,245,220,220,201,201,220,218,220,220,215,215,246,246,269,269,220,176,201,161,218,159,220,166,215,159,246,169,269,196,259,151,25090,24240,23480,22240,21586,20776,19996,19066,2766072,2425987,1976787,1881474,2213927,1805412,1746251,1772738,3316295,24616220,3573352,23453732,3417070,23435144,3187555,26982078,3287514,25193956,3125808,24775177,2827257,24287438,2600388,22904953,
218441,North Greenville University,404,400,504,497,536,530,485,466,542,528,584,583,504,503,527,521,497,356,530,388,466,328,528,370,583,428,503,388,521,382,538,369,21120,19750,19150,17594,16290,15510,14772,13936,3794520,5291971,4620132,3780292,4507536,4907366,3501979,3507968,34748925,45450315,31299423,47483595,28356288,43066848,25829511,42467079,28200202,39873453,26137822,33872410,20918556,31445838,16632823,29926260,
147679,North Park University,371,371,421,421,388,388,378,378,358,358,403,403,373,371,346,346,421,315,388,291,378,268,358,279,403,302,371,294,346,279,423,305,31030,29860,28620,27210,25860,24600,23350,22150,5637355,5722750,4533659,4095413,3869402,3879200,3124578,2883915,79526774,63308761,76873615,56931741,74875698,62019629,72046412,62289262,74216558,59043476,77272025,55297750,70471011,55099213,64828282,52826637,
439817,Northeastern Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520748,1924394,5592934,1823655,4539788,1619171,4301822,1534806,4348954,1536118,4472664,1490227,3891735,1516652,3602500,1579202,
167358,Northeastern University,2995,2995,2746,2746,3108,3108,2676,2676,2797,2797,2944,2944,2891,2891,2664,2664,2743,2723,3107,3001,2675,2588,2793,2696,2943,2847,2889,2779,2663,2544,3074,2937,53506,51522,49497,47653,45530,43440,41686,40086,81093588,67774108,72288220,62526254,60474996,60309364,52574231,45804010,1074592000,1273769000,847756000,1204802000,795872000,1102049000,701958000,1043002000,743032000,996069000,729034000,928762000,631395000,881890000,578340000,827220000,
147697,Northern Baptist Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16799476,4883310,17843339,4721511,16060416,4993116,17643124,4640564,17105281,4428974,18338192,4239418,16617578,3968511,15863766,4001326,
239512,Northland College,165,164,145,145,189,188,168,168,128,128,150,150,140,140,183,182,145,106,188,120,168,123,128,98,150,105,140,92,182,124,146,114,37516,36183,35157,33432,32754,31480,29990,28568,4379605,3488937,4364275,3718697,2794994,3100884,2711501,3316317,7190962,19893838,20916211,20348448,23643533,22374857,22932092,19876413,25167044,19551342,20715996,19399131,18706752,18904921,18093256,17703769,
239503,Northland International University,,,,,,,,,,,28,27,41,40,36,36,,,,,,,,,,,40,19,33,17,66,39,,,,,,13380,13380,13080,,,,,,,220424,232971,,,,,,,,,,,386731,6074489,129344,9069871,341408,10673516,
217606,Northpoint Bible College,46,42,52,46,63,59,64,51,60,59,49,45,45,42,44,39,44,32,57,36,43,28,58,35,45,29,42,31,33,26,49,36,13080,12380,12054,11510,11150,10790,10430,9980,69545,44262,44262,44589,37685,88694,28540,59482,558608,6357403,542788,6201163,546008,6560138,496375,6450966,506869,6609695,484529,6983089,438209,6234164,403777,5869231,
443030,NorthShore University HealthSystem School of Nurse Anesthesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028305,,992983,,934823,,849385,,830502,,780059,,733032,,673994,
460941,Northwest Institute of Literary Arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29027,749717,28431,727362,27804,503029,27191,449709,
142461,Northwest Nazarene University,278,278,278,278,281,281,225,224,250,249,276,274,252,249,243,242,278,228,270,206,224,178,249,195,274,212,247,185,242,184,255,204,31050,29800,29000,28650,28150,27340,26550,25190,5152979,4730877,4843752,3992294,4330189,4039858,3316344,3245724,43367101,41169220,56285406,39898732,57473418,39646907,50275605,40881709,53817632,42318750,33298768,41686319,28464766,38116572,25905509,37257447,
236133,Northwest University,190,190,220,219,191,189,198,197,203,203,260,239,215,202,215,211,219,161,188,158,197,157,203,155,183,150,201,148,211,164,175,144,32960,31540,30320,29200,28087,26968,25934,24706,3635742,3756305,2848998,2896569,2576631,2292603,2453765,2443584,8968000,31329000,8629000,29747000,7869000,29035000,7327000,27429000,7331657,27457287,7122701,29571779,6843639,28869127,4260307,28775115,
154101,Northwestern College,293,293,271,271,281,281,282,281,260,260,315,315,284,284,302,302,271,207,281,210,281,217,260,213,315,259,284,220,302,239,324,249,32300,31100,30200,29500,28950,27860,26764,25740,5407202,4812964,4661649,4677282,4420919,5172021,4357625,4332782,56662773,30742355,53739229,29231852,49413216,28416908,44166107,29142071,46731119,28966227,46684431,27710880,43319941,28562455,41317514,27056313,
174507,Northwestern Health Sciences University,5,5,1,1,4,4,6,2,6,3,3,3,10,9,9,7,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,5,12780,10996,10684,10396,11636,11636,11880,11739,5227,,6402,750,1000,1471,4100,2362,2285934,27637232,1884435,26456346,1883935,24785188,1883935,25873253,1345931,29330504,1342086,30120909,1337501,28669011,1335454,29147541,
120166,Northwestern Polytechnic University,,,,,,,,,,,,,52,47,48,47,0,0,,,,,,,,,,,47,39,64,42,8720,,,,,8720,8300,8170,,0,,,,,,1000,,8577931,,,,,,,,,,,,6569158,,6752846,
147767,Northwestern University,2006,2006,1931,1931,1903,1903,1985,1985,2018,2018,2043,2043,2040,2040,2037,2037,1929,1894,1902,1853,1984,1950,2016,1975,2041,1977,2038,1974,2037,1990,2106,2031,56691,54568,52678,50855,49047,47251,45527,43779,57694388,49807712,48779680,44297834,39743152,36448662,35378417,33224383,8244818000,2511191000,8386918000,2459183000,7947574000,2297296000,7478167000,2166154000,7588029000,2033333000,7501116000,1973028000,6283130000,1899301000,5574319000,1791451000,
171492,Northwood University,300,280,283,260,285,263,338,322,352,335,367,338,299,298,326,324,259,207,262,207,322,236,335,258,338,262,295,230,323,269,321,246,28080,27060,26080,25130,24170,23132,22130,20996,4935490,4401662,3783771,3888467,3916865,3692298,3660201,4616913,97912834,60231051,99465896,57442868,34644044,56520465,33928065,56573460,34637972,68990222,31594879,71404580,30556969,71161975,29977033,72301036,
136206,Northwood University-Florida,,,,,,,,,,,106,106,124,124,106,106,,,,,,,,,,,123,75,105,75,93,54,,,,,,23132,22130,20996,,,,,,,1424236,1425805,,,,,,,,,,,,,,,,,
227243,Northwood University-Texas,,,,,,,,,2,,3,1,87,87,164,164,,,,,,,,,1,1,86,19,164,93,81,47,,,,,10200,23132,22130,20996,,,,,,0,992228,2719110,,,,,,,,,,,,,,,,,
230995,Norwich University,663,657,682,677,684,681,799,797,597,594,657,655,590,548,603,602,677,542,681,536,797,632,594,463,657,488,571,405,571,428,604,520,41496,40014,38662,37354,36092,34704,33371,31782,20775400,19482979,18408263,22892962,12893292,14314331,11357035,10359779,214229000,113188000,217770000,109979000,209015000,110647000,195101000,106400000,208796000,105542000,206074000,102599000,183570000,98811000,160089000,99569000,
204468,Notre Dame College,341,336,297,297,305,303,286,285,345,343,338,336,334,330,386,385,297,177,303,183,285,192,338,211,335,214,329,205,385,232,394,247,30160,30160,29300,28300,27520,26844,26344,25514,6983052,5806364,5004574,4771873,5196811,4823949,4440467,5785305,10628189,26974641,10033782,29166259,8406227,31070623,6902042,31971576,7542105,30639957,7279375,29710320,6660335,28810050,6395582,29006169,
120184,Notre Dame de Namur University,120,120,179,179,169,169,157,156,173,172,177,175,172,172,182,182,179,115,169,104,156,106,172,142,175,125,172,129,182,140,176,143,36596,35350,34196,33268,32608,31822,31126,30522,2573168,4305088,3228083,2792367,2777542,2742536,2682439,2699851,24729231,37065243,23490031,36595105,22547412,36775063,20665535,38356099,20635727,40049134,19653282,39783407,16308359,35078853,13621433,32696565,
163578,Notre Dame of Maryland University,87,86,226,225,154,154,93,93,93,93,107,107,104,104,128,128,225,169,154,106,93,76,93,63,107,85,104,88,128,92,138,96,38340,36900,36070,35019,33670,33010,32050,30850,2105550,5265225,3157075,1800504,1805798,1928687,1828919,2031369,36683769,44134810,36113417,47048861,34557378,48522206,33982752,46252427,39303723,47859084,38980248,44783390,33819886,41024918,31370925,40474472,
160029,Notre Dame Seminary Graduate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5740659,6038853,5451005,5723716,555153,5434886,2765697,5115542,2413921,4597848,
136215,Nova Southeastern University,1526,1510,1248,1241,984,976,659,647,657,633,602,565,654,614,724,610,1241,1005,976,775,647,508,633,472,564,451,614,456,599,426,674,485,32110,30900,29930,28736,27660,26700,25430,24414,26926982,20840818,14819980,9538944,8653820,7200925,7137611,4904879,170727000,625498608,161145000,611639545,117806000,594095720,104544000,593382362,102732000,586801644,95431000,598194530,81064000,578844692,69576000,583936428,
194161,Nyack College,128,117,200,189,201,190,231,203,239,232,250,240,265,249,297,287,135,86,156,112,174,103,201,145,191,130,216,138,235,167,256,170,25500,25350,25350,24850,24300,23800,23250,22500,1367957,2673976,2600238,2596989,3232229,3023406,2835650,3160917,4393633,43177009,4255808,42346316,7027426,43509457,11976685,46905300,11915093,47184341,11624489,46138134,10036887,46167810,8227760,47516063,
221254,O'More College of Design,,,,,16,16,28,27,33,33,33,25,27,26,32,30,,,,,27,20,33,23,21,17,23,18,30,18,21,17,,,29880,28176,27360,26688,26160,25000,,,,199735,338077,210067,214307,167537,,,,,,3808865,,3505582,,3535706,,3598313,,5266810,,4705197,
174525,Oak Hills Christian College,13,13,24,22,26,26,19,19,22,18,28,28,29,28,28,28,16,6,17,4,13,8,18,9,23,13,21,15,27,17,24,15,17314,17314,17314,16980,16165,15759,15300,14670,89270,100448,106834,65490,72616,130185,98047,127373,747977,3330482,708097,3334622,627807,3007765,589961,3077729,662363,3184511,613304,3167042,534451,3527115,494219,3240267,
152099,Oakland City University,146,112,140,116,99,98,93,86,84,84,83,76,104,99,109,101,108,72,97,63,86,65,84,52,73,52,93,65,100,79,91,75,24300,24000,23700,23400,22800,19800,19200,18600,1945913,2125357,1510615,1119341,1139590,389336,1131784,1101340,5520177,30050203,5160362,27033379,5046151,25126091,4939770,24299363,4776658,28045929,4633617,27933355,4525641,26721942,4411083,24405769,
101912,Oakwood University,299,299,318,316,368,366,391,390,338,338,374,374,365,364,408,408,316,225,366,261,390,273,337,250,374,284,364,278,386,304,386,292,19990,19732,16720,16750,16720,16720,16234,15414,2257214,3285833,2793992,2578666,2016821,2135942,2177511,1905009,19744545,55566100,17659346,54786282,15646791,51255099,13228594,52240860,12667552,52219973,12014468,51670636,10333321,47598109,9288699,47822855,
204501,Oberlin College,798,798,804,804,728,725,762,762,775,775,797,797,780,780,764,759,804,735,723,647,762,697,775,687,797,735,773,729,759,709,734,689,56822,55052,53460,52002,50582,48682,46870,44905,22759605,21083505,17085180,17756192,16002553,15202734,15159514,13562401,984675368,188845259,947148504,187247016,879535245,186817686,808300971,194064122,871964706,182985478,866829551,174317635,765803704,170572732,708238026,161899944,
227289,Oblate School of Theology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25922895,8651621,26064934,8306381,23535939,8252114,19582182,8128247,19159619,7727991,17680540,7534537,14875893,7120472,13832126,6399112,
120254,Occidental College,562,562,566,565,564,564,502,502,518,517,546,546,548,548,530,530,565,523,564,507,502,457,517,468,546,508,548,507,530,493,537,505,56576,54686,52838,51070,49248,47522,46652,44570,13449582,14495834,12952120,11262627,11138666,10988970,10231512,9400781,448094636,126637450,434234019,122484102,413429864,116996130,371680490,116106569,392166640,111987735,406096354,109309886,356767066,107487926,330719886,101064954,
